round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Round of 16,,Tue,2019-02-12,20:00,Manchester Utd,0.4,0–2,2.5,Paris S-G,74054,Old Trafford,Daniele Orsato,/en/matches/59a63af6/Manchester-United-Paris-Saint-Germain-February-12-2019-Champions-League,Leg 1 of 2,59a63af6
Round of 16,,Tue,2019-02-12,21:00,Roma,1.5,2–1,0.6,Porto,51727,Stadio Olimpico,Jochem Kamphuis,/en/matches/a24037f9/Roma-Porto-February-12-2019-Champions-League,Leg 1 of 2,a24037f9
Round of 16,,Wed,2019-02-13,21:00,Ajax,2.2,1–2,1.5,Real Madrid,52286,Johan Cruyff ArenA,Szymon Marciniak,/en/matches/ce83832e/Ajax-Real-Madrid-February-13-2019-Champions-League,Leg 1 of 2,ce83832e
Round of 16,,Wed,2019-02-13,20:00,Tottenham,1.8,3–0,0.3,Dortmund,71214,Wembley Stadium,Antonio Matéu Lahoz,/en/matches/0dc09268/Tottenham-Hotspur-Dortmund-February-13-2019-Champions-League,Leg 1 of 2,0dc09268
Round of 16,,Tue,2019-02-19,20:00,Liverpool,2.1,0–0,0.4,Bayern Munich,52250,Anfield,Gianluca Rocchi,/en/matches/e6e9abca/Liverpool-Bayern-Munich-February-19-2019-Champions-League,Leg 1 of 2,e6e9abca
Round of 16,,Tue,2019-02-19,21:00,Lyon,0.3,0–0,2.1,Barcelona,57889,Groupama Stadium,Cüneyt Çakιr,/en/matches/ab68aed2/Lyon-Barcelona-February-19-2019-Champions-League,Leg 1 of 2,ab68aed2
Round of 16,,Wed,2019-02-20,21:00,Atlético Madrid,1.4,2–0,0.7,Juventus,67193,Estadio Wanda Metropolitano,Felix Zwayer,/en/matches/e05e875d/Atletico-Madrid-Juventus-February-20-2019-Champions-League,Leg 1 of 2,e05e875d
Round of 16,,Wed,2019-02-20,21:00,Schalke 04,1.8,2–3,1.6,Manchester City,54417,Veltins-Arena,Alejandro Hernández,/en/matches/b10e8387/Schalke-04-Manchester-City-February-20-2019-Champions-League,Leg 1 of 2,b10e8387
Round of 16,,Tue,2019-03-05,21:00,Dortmund,1.4,0–1,1.0,Tottenham,66099,Signal Iduna Park,Danny Makkelie,/en/matches/48796bc8/Dortmund-Tottenham-Hotspur-March-5-2019-Champions-League,Leg 2 of 2; Tottenham won,48796bc8
Round of 16,,Tue,2019-03-05,21:00,Real Madrid,2.5,1–4,2.6,Ajax,77013,Estadio Santiago Bernabéu,Felix Brych,/en/matches/44e9ad70/Real-Madrid-Ajax-March-5-2019-Champions-League,Leg 2 of 2; Ajax won,44e9ad70
Round of 16,,Wed,2019-03-06,21:00,Paris S-G,1.4,1–3,2.1,Manchester Utd,47441,Parc des Princes,Damir Skomina,/en/matches/bdb77399/Paris-Saint-Germain-Manchester-United-March-6-2019-Champions-League,Leg 2 of 2; Manchester Utd won,bdb77399
Round of 16,,Wed,2019-03-06,20:00,Porto,4.2,3–1,1.9,Roma,49029,Estádio Do Dragão,Paweł Gil,/en/matches/5fcf551e/Porto-Roma-March-6-2019-Champions-League,Leg 2 of 2; Porto won; Required Extra Time,5fcf551e
Round of 16,,Tue,2019-03-12,21:00,Juventus,2.5,3–0,0.4,Atlético Madrid,40884,Allianz Stadium,Björn Kuipers,/en/matches/26537cb0/Juventus-Atletico-Madrid-March-12-2019-Champions-League,Leg 2 of 2; Juventus won,26537cb0
Round of 16,,Tue,2019-03-12,20:00,Manchester City,3.7,7–0,0.1,Schalke 04,51518,Etihad Stadium,Clément Turpin,/en/matches/fd403ee9/Manchester-City-Schalke-04-March-12-2019-Champions-League,Leg 2 of 2; Manchester City won,fd403ee9
Round of 16,,Wed,2019-03-13,21:00,Barcelona,4.3,5–1,0.6,Lyon,92346,Camp Nou,Szymon Marciniak,/en/matches/b0f39178/Barcelona-Lyon-March-13-2019-Champions-League,Leg 2 of 2; Barcelona won,b0f39178
Round of 16,,Wed,2019-03-13,21:00,Bayern Munich,0.3,1–3,1.1,Liverpool,68145,Allianz Arena,Daniele Orsato,/en/matches/f180a417/Bayern-Munich-Liverpool-March-13-2019-Champions-League,Leg 2 of 2; Liverpool won,f180a417
Quarter-finals,,Tue,2019-04-09,20:00,Liverpool,2.3,2–0,0.8,Porto,52465,Anfield,Antonio Matéu Lahoz,/en/matches/1ff096ec/Liverpool-Porto-April-9-2019-Champions-League,Leg 1 of 2,1ff096ec
Quarter-finals,,Tue,2019-04-09,20:00,Tottenham,0.9,1–0,1.3,Manchester City,60044,Tottenham Hotspur Stadium,Björn Kuipers,/en/matches/ecf6dedc/Tottenham-Hotspur-Manchester-City-April-9-2019-Champions-League,Leg 1 of 2,ecf6dedc
Quarter-finals,,Wed,2019-04-10,21:00,Ajax,1.2,1–1,0.7,Juventus,50390,Johan Cruyff ArenA,Carlos del Cerro,/en/matches/7b2e2eab/Ajax-Juventus-April-10-2019-Champions-League,Leg 1 of 2,7b2e2eab
Quarter-finals,,Wed,2019-04-10,20:00,Manchester Utd,0.5,0–1,1.1,Barcelona,74093,Old Trafford,Gianluca Rocchi,/en/matches/6aa43ab6/Manchester-United-Barcelona-April-10-2019-Champions-League,Leg 1 of 2,6aa43ab6
Quarter-finals,,Tue,2019-04-16,21:00,Barcelona,1.4,3–0,0.4,Manchester Utd,96708,Camp Nou,Felix Brych,/en/matches/e5b5ebd1/Barcelona-Manchester-United-April-16-2019-Champions-League,Leg 2 of 2; Barcelona won,e5b5ebd1
Quarter-finals,,Tue,2019-04-16,21:00,Juventus,0.8,1–2,2.2,Ajax,41445,Allianz Stadium,Clément Turpin,/en/matches/07c5bd3b/Juventus-Ajax-April-16-2019-Champions-League,Leg 2 of 2; Ajax won,07c5bd3b
Quarter-finals,,Wed,2019-04-17,20:00,Manchester City,2.5,4–3,0.7,Tottenham,53348,Etihad Stadium,Cüneyt Çakιr,/en/matches/5a2a056f/Manchester-City-Tottenham-Hotspur-April-17-2019-Champions-League,Leg 2 of 2; Tottenham won,5a2a056f
